t / s;I / A
3481703523.098990;0.000000
3481703523.107991;0.004000
3481703523.117991;0.005000
3481703523.127992;0.001000
3481703523.141993;0.004000
3481703523.150993;0.002000
3481703523.160994;0.000000
3481703523.169994;0.000000
3481703523.178995;0.001000
3481703523.187995;0.002000
3481703523.200996;0.006000
3481703523.209997;0.006000
3481703523.218997;0.005000
3481703523.227998;0.007000
3481703523.240998;0.002000
3481703523.250999;0.001000
3481703523.259999;0.000000
3481703523.268000;0.000000
3481703523.284001;0.001000
3481703523.292001;0.006000
3481703523.300002;0.000000
3481703523.309002;0.006000
3481703523.318003;0.002000
3481703523.335004;0.002000
3481703523.343004;0.002000
3481703523.352005;0.001000
3481703523.361005;0.001000
3481703523.372006;0.001000
3481703523.381006;0.003000
3481703523.390007;0.002000
3481703523.399007;0.000000
3481703523.408008;0.003000
3481703523.418008;0.000000
3481703523.431009;0.001000
3481703523.440010;0.002000
3481703523.449010;0.001000
3481703523.460011;0.001000
3481703523.469011;0.006000
3481703523.479012;0.007000
3481703523.488012;0.002000
3481703523.499013;0.000000
3481703523.509014;0.000000
3481703523.518014;0.001000
3481703523.528015;0.001000
3481703523.537015;0.006000
3481703523.548016;0.002000
3481703523.559017;0.005000
3481703523.570017;0.003000
3481703523.579018;0.001000
3481703523.588018;0.000000
3481703523.597019;0.003000
3481703523.607019;0.003000
3481703523.620020;0.002000
3481703523.629021;0.002000
3481703523.639021;0.000000
3481703523.648022;0.000000
3481703523.657022;0.001000
3481703523.670023;0.000000
3481703523.679023;0.003000
3481703523.688024;0.004000
3481703523.697024;0.003000
3481703523.707025;0.000000
3481703523.721026;0.002000
3481703523.730026;0.003000
3481703523.740027;0.002000
3481703523.749028;0.000000
3481703523.758028;0.001000
3481703523.767028;0.003000
3481703523.781029;0.003000
3481703523.790030;0.002000
3481703523.799030;0.005000
3481703523.808031;0.004000
3481703523.817031;0.001000
3481703523.831032;0.001000
3481703523.840033;0.000000
3481703523.849033;0.000000
3481703523.858034;0.004000
3481703523.868034;0.006000
3481703523.879035;0.000000
3481703523.889036;0.005000
3481703523.899036;0.000000
3481703523.908037;0.000000
3481703523.917037;0.000000
3481703523.935038;0.001000
3481703523.945039;0.003000
3481703523.954039;0.004000
3481703523.963040;0.002000
3481703523.972040;0.001000
3481703523.978041;0.002000
3481703523.988041;0.003000
3481703523.998042;0.000000
3481703524.009042;0.000000
3481703524.018043;0.003000
3481703524.028043;0.004000
3481703524.038044;0.003000
3481703524.048045;0.005000
3481703524.058045;0.003000
3481703524.067046;0.000000
3481703524.077046;0.000000
3481703524.087047;0.001000
3481703524.101048;0.000000
3481703524.111048;0.004000
3481703524.120049;0.004000
3481703524.130049;0.002000
3481703524.139050;0.003000
3481703524.148050;0.000000
3481703524.157051;0.000000
3481703524.170052;0.000000
3481703524.179052;0.001000
3481703524.188053;0.002000
3481703524.197053;0.005000
3481703524.210054;0.004000
3481703524.219054;0.000000
3481703524.228055;0.005000
3481703524.237055;0.001000
3481703524.250056;0.002000
3481703524.259057;0.004000
3481703524.268057;0.000000
3481703524.277058;0.003000
3481703524.290059;0.005000
3481703524.300059;0.000000
3481703524.309060;0.000000
3481703524.318060;0.001000
3481703524.327061;0.003000
3481703524.337061;0.001000
3481703524.351062;0.001000
3481703524.360063;0.004000
3481703524.369063;0.002000
3481703524.378063;0.002000
3481703524.387064;0.005000
3481703524.400064;0.000000
3481703524.409065;0.004000
3481703524.418066;0.000000
3481703524.427066;0.000000
3481703524.440067;0.001000
3481703524.449068;0.002000
3481703524.459068;0.004000
3481703524.468069;0.002000
3481703524.478069;0.004000
3481703524.491070;0.000000
3481703524.499070;0.001000
3481703524.509071;0.001000
3481703524.518071;0.001000
3481703524.528072;0.001000
3481703524.538073;0.003000
3481703524.548073;0.000000
3481703524.558074;0.003000
3481703524.567074;0.002000
3481703524.577075;0.002000
3481703524.587075;0.000000
3481703524.599076;0.000000
3481703524.610077;0.005000
3481703524.620077;0.002000
3481703524.629078;0.001000
3481703524.638078;0.004000
3481703524.648079;0.005000
3481703524.657079;0.000000
3481703524.670080;0.000000
3481703524.679080;0.000000
3481703524.688081;0.004000
3481703524.697082;0.006000
3481703524.707082;0.002000
3481703524.716083;0.003000
3481703524.729084;0.004000
3481703524.738084;0.000000
3481703524.747085;0.000000
3481703524.756085;0.004000
